,company_name,company_type,employess,startup_type,years,location,salary_benefit,company_culture,skill_development,work_life_balance,job_security
55,Infra.Market,Building Material , 1k-5k Employees , Indian Unicorn , 7 years old , Thane +49 more,True,False,False,False,False
56,Spoton Logistics,Logistics , 1k-5k Employees , Startup , 11 years old , Bangalore +70 more,True,False,False,False,False
57,Clarivate,Analytics & KPO , 1k-5k Employees , Public , 7 years old , Philadelphia +10 more,True,False,False,False,False
58,Finastra,IT Services & Consulting , 1k-5k Employees , Startup , 6 years old , Paddington +12 more,True,False,False,False,False
59,Agrostar,Internet , 1k-5k Employees , Startup , 10 years old , Pune +26 more,True,False,False,False,False
60,Cuemath,EdTech , 1k-5k Employees , Startup , 10 years old , Bangalore +17 more,True,False,False,False,False
61,CIEL HR,Recruitment , 501-1k Employees , Startup , 8 years old , Bangalore +58 more,True,False,False,False,False
62,Zetwerk Manufacturing Businesses,Iron & Steel , 1k-5k Employees , Indian Unicorn , 5 years old , Bangalore +52 more,True,False,False,False,False
63,DealShare,Internet , 1k-5k Employees , Indian Unicorn , 5 years old , Jaipur +39 more,True,False,False,False,False
64,Kissht Finance,FinTech , 51-200 Employees , Startup , 8 years old , Mumbai +54 more,True,False,False,False,False
65,Testbook.com,EdTech , 501-1k Employees , Startup , 9 years old , Mumbai +17 more,True,False,False,False,False
66,Tata Electronics,Semiconductors , 11-50 Employees , Startup , Krishnagiri +7 more,,True,False,False,False,False
67,Licious,Internet , 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +28 more,True,False,False,False,False
68,Country Holidays Travel India,Travel & Tourism , 201-500 Employees , Startup , 1 years old , New Delhi +12 more,True,False,False,False,False
69,Corteva Agriscience,Agriculture , 1k-5k Employees , Public , 4 years old , Wilmington +61 more,True,False,False,False,False
70,Black Knight,IT Services & Consulting , 501-1k Employees , Startup , 9 years old , Jacksonville +3 more,True,False,False,False,False
71,Moglix,Internet , 501-1k Employees , Indian Unicorn , 8 years old , Singapore +31 more,True,False,False,False,False
72,Veritas Finance,Internet , 1k-5k Employees , Startup , 8 years old , Chennai +122 more,True,False,False,False,False
73,Collegedunia,EdTech , 1k-5k Employees , Startup , 9 years old , Gurgaon/Gurugram +13 more,True,False,False,False,False
74,Reshamandi,Fashion & Textile , 501-1k Employees , Startup , 3 years old , Bangalore +26 more,True,False,False,False,False
75,Lido Learning,EdTech , 201-500 Employees , Startup , 4 years old , Mumbai +16 more,True,False,False,False,False
76,Cogoport,Internet , 51-200 Employees , Startup , 7 years old , Mumbai +10 more,True,False,False,False,False
77,Evelyn Learning Systems,EdTech , 201-500 Employees , Startup , 10 years old , Delhi/NCR +8 more,True,False,False,False,False
78,Toothsi,Internet , 501-1k Employees , Startup , 5 years old , Mumbai +13 more,True,False,False,False,False
79,RenewBuy,Insurance , 1k-5k Employees , Startup , 9 years old , Gurgaon +64 more,True,False,False,False,False
80,Ather Energy,Automobile , 1k-5k Employees , Startup , 10 years old , Bangalore +20 more,True,False,False,False,False
81,Portea Medical,Healthcare , 501-1k Employees , Startup , 10 years old , Bangalore +25 more,True,False,False,False,False
82,Zepto,Internet , 501-1k Employees , Startup , 2 years old , Mumbai +19 more,True,False,False,False,False
83,ByteDance,Internet , 1k-5k Employees , Startup , 11 years old , Shanghai +12 more,True,False,False,False,False
84,Online Legal India,Legal , 501-1k Employees , Startup , 4 years old , Kolkata +4 more,True,False,False,False,False
85,Expertrons,Education & Training , 201-500 Employees , Startup , 4 years old , Mumbai +6 more,True,False,False,False,False
86,Cashify,Internet , 501-1k Employees , Startup , 10 years old , Gurgaon +31 more,True,False,False,False,False
87,NxtWave,EdTech , 1k-5k Employees , Startup , 3 years old , Hyderabad +8 more,True,False,False,False,False
88,Porter,Internet , 1k-5k Employees , Startup , 9 years old , Bangalore +20 more,True,False,False,False,False
89,Turtlemint,Internet , 1k-5k Employees , Startup , 8 years old , Mumbai +65 more,True,False,False,False,False
90,Keysight Technologies,Electronics Manufacturing , 1k-5k Employees , Forbes Global 2000 , 9 years old , Santa Rosa +8 more,True,False,False,False,False
91,Zolo,Internet , 501-1k Employees , Startup , 8 years old , Bangalore +16 more,True,False,False,False,False
92,1 India Family Mart,Retail , 201-500 Employees , Startup , 11 years old , Gurgaon +58 more,True,False,False,False,False
93,BYJU'S Exam Prep,EdTech , 501-1k Employees , Startup , 8 years old , Noida +23 more,True,False,False,False,False
94,HealthifyMe,Healthcare , 201-500 Employees , Startup , 11 years old , Bangalore/Bengaluru +9 more,True,False,False,False,False
95,Zoomcar,Internet , 1k-5k Employees , Startup , 11 years old , Bangalore +29 more,True,False,False,False,False
96,Nowfloats Technologies,Software Product , 201-500 Employees , Startup , 11 years old , Hyderabad +39 more,True,False,False,False,False
97,GoMechanic,Internet , 501-1k Employees , Startup , 7 years old , Gurgaon +26 more,True,False,False,False,False
98,Oda Class,EdTech , 1k-5k Employees , Startup , 6 years old , Bengaluru/Bangalore +6 more,True,False,False,False,False
99,Katerra,Engineering & Construction , 501-1k Employees , Startup , 8 years old , Menlo Park +14 more,True,False,False,False,False
100,Netmeds.com,Internet , 501-1k Employees , Startup , 8 years old , Chennai +57 more,True,False,False,False,False
101,myGate,Law Enforcement & Security , 1k-5k Employees , Startup , 7 years old , Bangalore +17 more,True,False,False,False,False
